"","Year","GDP","Unemployment","R_diff_house","R_diff_senate"
"1","1948",274807,3.75,58,6
"2","1949",272827,6.05,-92,-12
"3","1950",300198,5.20833333333333,-92,-12
"4","1951",347294,3.28333333333333,-35,-1
"5","1952",367728,3.025,-35,-1
"6","1953",389739,2.925,8,2
"7","1954",391146,5.59166666666667,8,2
"8","1955",426175,4.36666666666667,-29,-1
"9","1956",450130,4.125,-29,-1
"10","1957",474851,4.3,-33,-2
"11","1958",482045,6.84166666666667,-33,-2
"12","1959",522451,5.45,-130,-30
"13","1960",543283,5.54166666666667,-130,-30
"14","1961",563303,6.69166666666667,-87,-28
"15","1962",605115,5.56666666666667,-87,-28
"16","1963",638582,5.64166666666667,-82,-34
"17","1964",685786,5.15833333333333,-82,-34
"18","1965",743728,4.50833333333333,-155,-36
"19","1966",815039,3.79166666666667,-155,-36
"20","1967",861731,3.84166666666667,-59,-28
"21","1968",942480,3.55833333333333,-59,-28
"22","1969",1019878,3.49166666666667,-51,-16
"23","1970",1075884,4.98333333333333,-51,-16
"24","1971",1167770,5.95,-75,-10
"25","1972",1282449,5.6,-75,-10
"26","1973",1428549,4.85833333333333,-47,-14
"27","1974",1548825,5.64166666666667,-47,-14
"28","1975",1688923,8.475,-147,-24
"29","1976",1877587,7.7,-147,-24
"30","1977",2085951,7.05,-149,-23
"31","1978",2356571,6.06666666666667,-149,-23
"32","1979",2632143,5.85,-119,-17
"33","1980",2862505,7.175,-119,-17
"34","1981",3210956,7.61666666666667,-51,7
"35","1982",3344991,9.70833333333333,-51,7
"36","1983",3638137,9.6,-102,8
"37","1984",4040693,7.50833333333333,-102,8
"38","1985",4346734,7.19166666666667,-70,6
"39","1986",4590155,7,-70,6
"40","1987",4870217,6.175,-81,-10
"41","1988",5252629,5.49166666666667,-81,-10
"42","1989",5657693,5.25833333333333,-85,-10
"43","1990",5979589,5.61666666666667,-85,-10
"44","1991",6174043,6.85,-100,-12
"45","1992",6539299,7.49166666666667,-100,-12
"46","1993",6878718,6.90833333333333,-82,-14
"47","1994",7308755,6.1,-82,-14
"48","1995",7664060,5.59166666666667,26,6
"49","1996",8100201,5.40833333333333,26,6
"50","1997",8608515,4.94166666666667,20,10
"51","1998",9089168,4.5,20,10
"52","1999",9660624,4.21666666666667,12,10
"53","2000",10284779,3.96666666666667,12,10
"54","2001",10621824,4.74166666666667,10,0
"55","2002",10977514,5.78333333333333,10,0
"56","2003",11510670,5.99166666666667,24,3
"57","2004",12274928,5.54166666666667,24,3
"58","2005",13093726,5.08333333333333,31,11
"59","2006",13855888,4.60833333333333,31,11
"60","2007",14477635,4.61666666666667,-31,0
"61","2008",14718582,5.8,-31,0
"62","2009",14418739,9.28333333333333,-78,-14
"63","2010",14964372,9.60833333333333,-78,-14
"64","2011",15517926,8.93333333333333,49,-4
"65","2012",16155255,8.075,49,-4
"66","2013",16691517,7.35833333333333,33,-8
"67","2014",17427609,6.175,33,-8
"68","2015",18120714,5.26666666666667,59,10
"69","2016",18624475,4.86666666666667,59,10
"70","2017",19386801,4.35,47,6
"71","2017",19386801,4.35,47,6
"72","2017",19386801,4.35,47,6
"73","2017",19386801,4.35,47,6
